0.01085 0.80105 -0.1218 -0.8244 0.00000 0.00000 0.00000 0.00000 0.00000 -0.0097 0.28649 0.00000
0.00000 0.00000 0.00000 0.00000 0.94849 0.15280 0.06672 0.47981 1.26500 0.00000 0.00000 -0.4497
0.00000 0.00000 0.00000 0.00000 -0.0327 0.00031 -0.0100 -0.0068 -0.0490 0.00000 0.00000 0.03355
0.00269 0.00839 -0.0011 -0.0136 0.30315 0.02068 0.05171 0.10208 0.41436 -0.0019 -0.0150 -0.2176
0.00806 0.06686 -0.0025 -0.0672 -0.1595 -0.0327 -0.0037 -0.0934 -0.2102 -0.0058 -0.0376 0.05730
0.00636 0.04456 -0.0046 -0.0532 0.28867 0.00436 0.06577 0.06931 0.40003 -0.0046 -0.0271 -0.2474
0.00068 0.00697 -0.0024 -0.0112 0.02352 -0.0178 0.02497 -0.0275 0.03908 -0.0005 0.00057 -0.0678
0.00068 0.00697 -0.0024 -0.0112 -0.0235 0.01782 -0.0250 0.02745 -0.0391 -0.0005 0.00057 0.06784
0.00636 0.04456 -0.0046 -0.0532 -0.2887 -0.0044 -0.0658 -0.0693 -0.4000 -0.0046 -0.0271 0.24741
0.00806 0.06686 -0.0025 -0.0672 0.15948 0.03268 0.00368 0.09339 0.21021 -0.0058 -0.0376 -0.0573
0.00269 0.00839 -0.0011 -0.0136 -0.3032 -0.0207 -0.0517 -0.1021 -0.4144 -0.0019 -0.0150 0.21761
